"OpenMapRealVector","-0.006896551724137931","-0.006896551724137931","-1","math049",213
"OpenMapRealVector","0.19310344827586207","0.19310344827586207","28","math049",213
"OpenMapRealVector","-0.006896551724137931","-0.006896551724137931","-1","math049",213
"BaseSecantSolver","0.8161925601750547","0.8161925601750547","373","math050",525
"BaseSecantSolver","0.8183807439824945","0.8183807439824945","374","math050",525
"BaseSecantSolver","0.8205689277899344","0.8205689277899344","375","math050",525
"BaseSecantSolver","0.8227571115973742","0.8227571115973742","376","math050",525
"BaseSecantSolver","0.8423236514522822","0.8423236514522822","406","math051",550
"Rotation","0.15555555555555556","0.15555555555555556","21","math052",203
"Rotation","0.2222222222222222","0.2222222222222222","30","math052",203
"Rotation","0.26666666666666666","0.26666666666666666","36","math052",203
"Complex","0.14285714285714285","0.14285714285714285","2","math053",82
"Dfp","-8.818342151675485E-4","-8.818342151675485E-4","-1","math054",1202
"Dfp","0.026455026455026454","0.026455026455026454","30","math054",1202
"Vector3D","0.14285714285714285","0.14285714285714285","1","math055",75
"MultidimensionalCounter","0.887468030690537","0.887468030690537","347","math056",459
"MultidimensionalCounter","0.8900255754475703","0.8900255754475703","348","math056",459
"MultidimensionalCounter","0.8925831202046036","0.8925831202046036","349","math056",459
"MultidimensionalCounter","0.8951406649616368","0.8951406649616368","350","math056",459
"MultidimensionalCounter","0.8976982097186701","0.8976982097186701","351","math056",459
"MultidimensionalCounter","0.9002557544757033","0.9002557544757033","352","math056",459
"MultidimensionalCounter","0.9028132992327366","0.9028132992327366","353","math056",459
"KMeansPlusPlusClusterer","0.48","0.48","36","math057",143
"GaussianFitter","1.0012135922330097","1.0012135922330097","825","math058",892
"FastMath","0.001314060446780552","0.001314060446780552","2","math059",1590
"NormalDistributionImpl","-0.00145985401459854","-0.00145985401459854","-1","math060",753
"NormalDistributionImpl","-0.00145985401459854","-0.00145985401459854","-1","math060",753
"NormalDistributionImpl","-0.00145985401459854","-0.00145985401459854","-1","math060",753
"NormalDistributionImpl","-0.00145985401459854","-0.00145985401459854","-1","math060",753
"NormalDistributionImpl","-0.00145985401459854","-0.00145985401459854","-1","math060",753
"NormalDistributionImpl","-0.00145985401459854","-0.00145985401459854","-1","math060",753
"NormalDistributionImpl","-0.00145985401459854","-0.00145985401459854","-1","math060",753
"NormalDistributionImpl","-0.00145985401459854","-0.00145985401459854","-1","math060",753
"NormalDistributionImpl","-0.00145985401459854","-0.00145985401459854","-1","math060",753
"NormalDistributionImpl","-0.00145985401459854","-0.00145985401459854","-1","math060",753
"PoissonDistributionImpl","-0.02631578947368421","-0.02631578947368421","-1","math061",106
"PoissonDistributionImpl","0.02631578947368421","0.02631578947368421","1","math061",106
"MultiStartUnivariateRealOptimizer","0.6057866184448463","0.6057866184448463","335","math062",621
"MultiStartUnivariateRealOptimizer","0.6130198915009042","0.6130198915009042","339","math062",621
"MultiStartUnivariateRealOptimizer","0.6148282097649186","0.6148282097649186","340","math062",621
"MultiStartUnivariateRealOptimizer","0.6166365280289331","0.6166365280289331","341","math062",621
"MathUtils","0.125","0.125","1","math063",76
"LevenbergMarquardtOptimizer","0.3902439024390244","0.3902439024390244","208","math064",601
"LevenbergMarquardtOptimizer","0.40337711069418386","0.40337711069418386","215","math064",601
"LevenbergMarquardtOptimizer","0.41088180112570355","0.41088180112570355","219","math064",601
"LevenbergMarquardtOptimizer","0.4727954971857411","0.4727954971857411","252","math064",601
"LevenbergMarquardtOptimizer","1.0056285178236397","1.0056285178236397","536","math064",601
"LevenbergMarquardtOptimizer","0.5084427767354597","0.5084427767354597","271","math064",601
"LevenbergMarquardtOptimizer","0.5121951219512195","0.5121951219512195","273","math064",601
"LevenbergMarquardtOptimizer","0.5478424015009381","0.5478424015009381","292","math064",601
"LevenbergMarquardtOptimizer","0.6585365853658537","0.6585365853658537","351","math064",601
"LevenbergMarquardtOptimizer","0.6754221388367729","0.6754221388367729","360","math064",601
"LevenbergMarquardtOptimizer","0.6923076923076923","0.6923076923076923","369","math064",601
"LevenbergMarquardtOptimizer","0.6941838649155723","0.6941838649155723","370","math064",601
"LevenbergMarquardtOptimizer","0.6960600375234521","0.6960600375234521","371","math064",601
"LevenbergMarquardtOptimizer","0.6979362101313321","0.6979362101313321","372","math064",601
"AbstractLeastSquaresOptimizer","0.3787610619469027","0.3787610619469027","214","math065",633
"AbstractLeastSquaresOptimizer","0.3805309734513274","0.3805309734513274","215","math065",633
"AbstractLeastSquaresOptimizer","0.3823008849557522","0.3823008849557522","216","math065",633
"AbstractLeastSquaresOptimizer","0.384070796460177","0.384070796460177","217","math065",633
"AbstractLeastSquaresOptimizer","0.3858407079646018","0.3858407079646018","218","math065",633
"AbstractLeastSquaresOptimizer","0.38761061946902653","0.38761061946902653","219","math065",633
"AbstractLeastSquaresOptimizer","0.007079646017699115","0.007079646017699115","4","math065",633
"BrentOptimizer","0.005154639175257732","0.005154639175257732","2","math066",456
"BrentOptimizer","0.010309278350515464","0.010309278350515464","4","math066",456
"BrentOptimizer","0.01288659793814433","0.01288659793814433","5","math066",456
"BrentOptimizer","-0.002577319587628866","-0.002577319587628866","-1","math066",456
"BrentOptimizer","-0.002577319587628866","-0.002577319587628866","-1","math066",456
"BrentOptimizer","-0.002577319587628866","-0.002577319587628866","-1","math066",456
"BrentOptimizer","0.015463917525773196","0.015463917525773196","6","math066",456
"BrentOptimizer","0.020618556701030927","0.020618556701030927","8","math066",456
"BrentOptimizer","-0.002577319587628866","-0.002577319587628866","-1","math066",456
"BrentOptimizer","0.6211340206185567","0.6211340206185567","241","math066",456
"BrentOptimizer","-0.002577319587628866","-0.002577319587628866","-1","math066",456
"BrentOptimizer","-0.002577319587628866","-0.002577319587628866","-1","math066",456
"BrentOptimizer","-0.002577319587628866","-0.002577319587628866","-1","math066",456
"BrentOptimizer","0.05154639175257732","0.05154639175257732","20","math066",456
"BrentOptimizer","0.05412371134020619","0.05412371134020619","21","math066",456
"BrentOptimizer","0.061855670103092786","0.061855670103092786","24","math066",456
"BrentOptimizer","0.06443298969072164","0.06443298969072164","25","math066",456
"BrentOptimizer","0.30412371134020616","0.30412371134020616","118","math066",456
"BrentOptimizer","0.30670103092783507","0.30670103092783507","119","math066",456
"BrentOptimizer","0.35051546391752575","0.35051546391752575","136","math066",456
"BrentOptimizer","0.3582474226804124","0.3582474226804124","139","math066",456
"BrentOptimizer","1.0077319587628866","1.0077319587628866","391","math066",456
"MultiStartUnivariateRealOptimizer","-0.004347826086956522","-0.004347826086956522","-1","math067",298
"MultiStartUnivariateRealOptimizer","0.008695652173913044","0.008695652173913044","2","math067",298
"LevenbergMarquardtOptimizer","0.34831460674157305","0.34831460674157305","186","math068",602
"LevenbergMarquardtOptimizer","-0.0018726591760299626","-0.0018726591760299626","-1","math068",602
"LevenbergMarquardtOptimizer","0.3970037453183521","0.3970037453183521","212","math068",602
"LevenbergMarquardtOptimizer","1.0056179775280898","1.0056179775280898","537","math068",602
"LevenbergMarquardtOptimizer","0.5430711610486891","0.5430711610486891","290","math068",602
"LevenbergMarquardtOptimizer","0.6779026217228464","0.6779026217228464","362","math068",602
"PearsonsCorrelation","0.4","0.4","128","math069",388
"BisectionSolver","-0.027777777777777776","-0.027777777777777776","-1","math070",104
"EmbeddedRungeKuttaIntegrator","0.9121813031161473","0.23087818696883852","163","math071",774
"RungeKuttaIntegrator","0.6288951841359773","0.9362606232294618","661","math071",774
"BrentSolver","0.010416666666666666","0.010416666666666666","1","math072",164
"BrentSolver","1.09375","1.09375","105","math072",164
"BrentSolver","0.006944444444444444","0.006944444444444444","1","math073",212
"EmbeddedRungeKuttaIntegrator","0.7765804597701149","0.7765804597701149","1081","math074",1460
"EmbeddedRungeKuttaIntegrator","0.7780172413793104","0.7780172413793104","1083","math074",1460
"EmbeddedRungeKuttaIntegrator","0.7787356321839081","0.7787356321839081","1084","math074",1460
"EmbeddedRungeKuttaIntegrator","0.7801724137931034","0.7801724137931034","1086","math074",1460
"Frequency","0.022727272727272728","0.022727272727272728","1","math075",112
"SingularValueDecompositionImpl","0.10775295663600526","0.12089356110381078","92","math076",829
